Num Nodes,Topology,Algorithm,Convergence Time (ms)
500,full,gossip,15
500,full,push-sum,11230
500,3D,gossip,2
500,3D,push-sum,8
500,line,gossip,3
500,line,push-sum,209
500,imp3D,gossip,4
500,imp3D,push-sum,103
600,full,gossip,33
600,full,push-sum,15149
600,3D,gossip,1
600,3D,push-sum,80
600,line,gossip,1
600,line,push-sum,88
600,imp3D,gossip,5
600,imp3D,push-sum,146
700,full,gossip,30
700,full,push-sum,15904
700,3D,gossip,7
700,3D,push-sum,64
700,line,gossip,7
700,line,push-sum,352
700,imp3D,gossip,3
700,imp3D,push-sum,118
800,full,gossip,25
800,full,push-sum,23117
800,3D,gossip,2
800,3D,push-sum,18
800,line,gossip,2
800,line,push-sum,58
800,imp3D,gossip,2
800,imp3D,push-sum,65
900,full,gossip,58
900,full,push-sum,21078
900,3D,gossip,11
900,3D,push-sum,20
900,line,gossip,7
900,line,push-sum,138
900,imp3D,gossip,5
900,imp3D,push-sum,31
1000,full,gossip,48
1000,full,push-sum,20606
1000,3D,gossip,10
1000,3D,push-sum,19
1000,line,gossip,3
1000,line,push-sum,3232
1000,imp3D,gossip,11
1000,imp3D,push-sum,270
1100,full,gossip,41
1100,full,push-sum,22858
1100,3D,gossip,7
1100,3D,push-sum,78
1100,line,gossip,5
1100,line,push-sum,2121
1100,imp3D,gossip,7
1100,imp3D,push-sum,233
1200,full,gossip,110
1200,full,push-sum,25471
1200,3D,gossip,10
1200,3D,push-sum,44
1200,line,gossip,5
1200,line,push-sum,516
1200,imp3D,gossip,1
1200,imp3D,push-sum,98
1300,full,gossip,158
1300,full,push-sum,26564
1300,3D,gossip,14
1300,3D,push-sum,56
1300,line,gossip,9
1300,line,push-sum,4154
1300,imp3D,gossip,12
1300,imp3D,push-sum,70
1400,full,gossip,160
1400,full,push-sum,24125
1400,3D,gossip,10
1400,3D,push-sum,32
1400,line,gossip,8
1400,line,push-sum,298
1400,imp3D,gossip,13
1400,imp3D,push-sum,63
1500,full,gossip,114
1500,full,push-sum,27067
1500,3D,gossip,22
1500,3D,push-sum,18
1500,line,gossip,10
1500,line,push-sum,5755
1500,imp3D,gossip,13
1500,imp3D,push-sum,71
1600,full,gossip,186
1600,full,push-sum,29349
1600,3D,gossip,14
1600,3D,push-sum,1
1600,line,gossip,12
1600,line,push-sum,13862
1600,imp3D,gossip,14
1600,imp3D,push-sum,60
1700,full,gossip,288
1700,full,push-sum,34753
1700,3D,gossip,18
1700,3D,push-sum,20
1700,line,gossip,10
1700,line,push-sum,847
1700,imp3D,gossip,7
1700,imp3D,push-sum,62
1800,full,gossip,215
1800,full,push-sum,27707
1800,3D,gossip,15
1800,3D,push-sum,14
1800,line,gossip,4
1800,line,push-sum,15248
1800,imp3D,gossip,4
1800,imp3D,push-sum,3
1900,full,gossip,213
1900,full,push-sum,32974
1900,3D,gossip,8
1900,3D,push-sum,69
1900,line,gossip,2
1900,line,push-sum,10025
1900,imp3D,gossip,10
1900,imp3D,push-sum,112
2000,full,gossip,192
2000,full,push-sum,30464
2000,3D,gossip,5
2000,3D,push-sum,50
2000,line,gossip,16
2000,line,push-sum,96
2000,imp3D,gossip,13
2000,imp3D,push-sum,166
2100,full,gossip,783
2100,full,push-sum,6717
2100,3D,gossip,12
2100,3D,push-sum,64
2100,line,gossip,6
2100,line,push-sum,66
2100,imp3D,gossip,12
2100,imp3D,push-sum,217
2200,full,gossip,624
2200,full,push-sum,6114
2200,3D,gossip,4
2200,3D,push-sum,33
2200,line,gossip,4
2200,line,push-sum,1874
2200,imp3D,gossip,1
2200,imp3D,push-sum,415
2300,full,gossip,764
2300,full,push-sum,7209
2300,3D,gossip,3
2300,3D,push-sum,51
2300,line,gossip,5
2300,line,push-sum,6633
2300,imp3D,gossip,7
2300,imp3D,push-sum,370
2400,full,gossip,703
2400,full,push-sum,6657
2400,3D,gossip,5
2400,3D,push-sum,49
2400,line,gossip,2
2400,line,push-sum,8308
2400,imp3D,gossip,4
2400,imp3D,push-sum,52
2500,full,gossip,684
2500,full,push-sum,8194
2500,3D,gossip,5
2500,3D,push-sum,30
2500,line,gossip,2
2500,line,push-sum,1004
2500,imp3D,gossip,5
2500,imp3D,push-sum,68
2600,full,gossip,530
2600,full,push-sum,9079
2600,3D,gossip,6
2600,3D,push-sum,26
2600,line,gossip,10
2600,line,push-sum,1634
2600,imp3D,gossip,5
2600,imp3D,push-sum,200
2700,full,gossip,1197
2700,full,push-sum,8675
2700,3D,gossip,2
2700,3D,push-sum,1
2700,line,gossip,8
2700,line,push-sum,3948
2700,imp3D,gossip,4
2700,imp3D,push-sum,91
2800,full,gossip,1842
2800,full,push-sum,8158
2800,3D,gossip,2
2800,3D,push-sum,47
2800,line,gossip,13
2800,line,push-sum,4577
2800,imp3D,gossip,16
2800,imp3D,push-sum,184
2900,full,gossip,1145
2900,full,push-sum,8409
2900,3D,gossip,6
2900,3D,push-sum,16
2900,line,gossip,1
2900,line,push-sum,12511
2900,imp3D,gossip,11
2900,imp3D,push-sum,50
3000,full,gossip,Timeout
3000,full,push-sum,13906
3000,3D,gossip,3
3000,3D,push-sum,3
3000,line,gossip,3
3000,line,push-sum,10816
3000,imp3D,gossip,3
3000,imp3D,push-sum,114
